observation_date,MEHOINUSCAA646N
01/01/90,33290
01/01/91,33660
01/01/92,34900
01/01/93,34070
01/01/94,35330
01/01/95,37010
01/01/96,38810
01/01/97,39690
01/01/98,40930
01/01/99,43630
01/01/00,46820
01/01/01,47260
01/01/02,47440
01/01/03,49300
01/01/04,49220
01/01/05,51760
01/01/06,55320
01/01/07,55730
01/01/08,57010
01/01/09,56130
01/01/10,54280
01/01/11,53370
01/01/12,57020
01/01/13,60790
01/01/14,60490
01/01/15,63640
01/01/16,66640
01/01/17,70040
01/01/18,70490
01/01/19,78100
01/01/20,77650
01/01/21,81580
01/01/22,85300
01/01/23,89870
